210020001;Aljaraque ;Huelva
210050001;Almonte ;Huelva
210060001;Alosno ;Huelva
210070001;Aracena ;Huelva
210080002;Aroche ;Huelva
210100001;Ayamonte ;Huelva
210110001;Beas ;Huelva
210130001;Bollullos Par del Condado ;Huelva
210140001;Bonares ;Huelva
210170001;Calañas ;Huelva
210210001;Cartaya ;Huelva
210020002;Corrales ;Huelva
210250003;Cortegana ;Huelva
210290001;Cumbres Mayores ;Huelva
210350002;Gibraleón ;Huelva
210400003;Hinojos; Huelva
210410001;Huelva ;Huelva
210420003;Isla Cristina ;Huelva
210430001;Jabugo ;Huelva
210540001;La Palma del Condado ;Huelva
210440004;Lepe ;Huelva
210500002;Mazagón ;Huelva
210490004;Minas de Riotinto ;Huelva
210500003;Moguer ;Huelva
210520001;Nerva ;Huelva
210530009;Niebla ;Huelva
210550004;Palos de la Frontera ;Huelva
210560001;Paterna del Campo ;Huelva
210580002;Puebla de Guzmán ;Huelva
210600003;Punta Umbría ;Huelva
210610001;Rociana del Condado ;Huelva
210630001;San Bartolomé de la Torre ;Huelva
210640006;San Juan del Puerto ;Huelva
210690001;Santa Olalla del Cala ;Huelva
210700001;Trigueros ;Huelva
210720001;Valverde del Camino ;Huelva
210740001;Villalba del Alcor ;Huelva
210760004;Villanueva de los Castillejos ;Huelva
210780009;Zalamea la Real ;Huelva
